epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,125.051,1.37137,1.81037,1.16398,0.47671,0.57041,0.61514,0.31952,1.85402,1.73716,1.27594,0.0001684,0.0001684,0.0001684
44,127.429,1.34632,1.76385,1.13821,0.38323,0.70789,0.60073,0.31449,1.85717,1.62388,1.27926,0.0001486,0.0001486,0.0001486
45,129.846,1.3819,1.77909,1.14259,0.42568,0.72348,0.58707,0.31477,1.85551,1.59444,1.28045,0.0001288,0.0001288,0.0001288
46,132.386,1.33893,1.70147,1.14921,0.42706,0.72505,0.5859,0.30787,1.84855,1.57191,1.27846,0.000109,0.000109,0.000109
47,134.931,1.30872,1.64308,1.12151,0.65158,0.49334,0.61301,0.32978,1.84812,1.56704,1.27425,8.92e-05,8.92e-05,8.92e-05
48,137.586,1.354,1.6326,1.14851,0.63306,0.53088,0.6199,0.33811,1.83712,1.54455,1.27097,6.94e-05,6.94e-05,6.94e-05
49,140.007,1.33631,1.66162,1.14634,0.63709,0.53112,0.62355,0.33984,1.83917,1.53356,1.26939,4.96e-05,4.96e-05,4.96e-05
50,142.346,1.32058,1.66808,1.14725,0.71292,0.53173,0.63857,0.34485,1.83493,1.51884,1.26416,2.98e-05,2.98e-05,2.98e-05
1,4.27933,2.5899,4.7131,2.17888,0,0,0,0,2.4992,4.9624,2.09144,6e-05,6e-05,6e-05
2,6.28206,2.45732,4.40029,2.00492,0,0,0,0,2.22721,4.817,1.72233,0.000129142,0.000129142,0.000129142
3,8.32243,2.20299,3.95629,1.67968,0,0,0,0,2.07377,4.53629,1.4985,0.00019736,0.00019736,0.00019736
4,10.4085,2.13621,3.61616,1.59113,0.00043,0.01667,0.00152,0.00015,2.00115,4.3497,1.39664,0.000264654,0.000264654,0.000264654
5,12.4411,2.01793,3.24437,1.50093,0.00179,0.1,0.01181,0.00358,2.12178,4.08378,1.44348,0.000331024,0.000331024,0.000331024
6,14.5269,1.85757,2.89216,1.39437,0.00405,0.42639,0.10095,0.05511,1.95455,3.61786,1.30854,0.00039647,0.00039647,0.00039647
7,17.0664,1.8385,2.75388,1.37273,0.00962,0.77361,0.19978,0.08748,2.02392,3.27845,1.30386,0.000460992,0.000460992,0.000460992
8,19.5186,1.82504,2.67189,1.38387,0.32686,0.12083,0.15336,0.06688,2.0684,3.09166,1.29794,0.00052459,0.00052459,0.00052459
9,21.8298,1.76961,2.54231,1.31745,0.45347,0.10519,0.24781,0.13478,1.89403,2.72454,1.26402,0.000587264,0.000587264,0.000587264
10,24.3444,1.75817,2.46178,1.3158,0.1774,0.17699,0.27597,0.13267,2.02924,2.6389,1.35027,0.000649014,0.000649014,0.000649014
11,26.7239,1.72037,2.48853,1.32084,0.4151,0.09722,0.235,0.10876,1.96678,2.83866,1.32152,0.00070984,0.00070984,0.00070984
12,29.2405,1.73541,2.4632,1.27146,0.22945,0.27639,0.25674,0.11445,1.79321,2.36114,1.26506,0.000769742,0.000769742,0.000769742
13,31.628,1.70949,2.37201,1.26137,0.22542,0.3724,0.26843,0.12444,1.80102,2.27051,1.25074,0.00082872,0.00082872,0.00082872
14,34.2145,1.64134,2.38707,1.23976,0.20418,0.41667,0.33177,0.15213,1.85474,2.25754,1.28433,0.000886774,0.000886774,0.000886774
15,36.6725,1.64848,2.28377,1.23388,0.20562,0.48876,0.34685,0.15997,1.88695,2.18502,1.31416,0.0009076,0.0009076,0.0009076
16,39.0754,1.63564,2.20013,1.25137,0.26262,0.55388,0.32862,0.15349,1.86907,2.11178,1.27429,0.000901,0.000901,0.000901
17,41.4546,1.66901,2.3479,1.23808,0.25821,0.55764,0.38674,0.18387,1.88817,2.13373,1.26228,0.0008944,0.0008944,0.0008944
18,43.9218,1.6185,2.27472,1.21569,0.27971,0.31806,0.36148,0.16229,1.96688,2.22359,1.33153,0.0008878,0.0008878,0.0008878
19,46.3319,1.57826,2.21242,1.21439,0.21072,0.43559,0.39315,0.18647,1.95613,1.99009,1.32912,0.0008812,0.0008812,0.0008812
20,48.7513,1.58922,2.17664,1.24899,0.29974,0.49771,0.35171,0.15721,2.02566,2.13943,1.35147,0.0008746,0.0008746,0.0008746
21,51.2,1.61806,2.14273,1.23585,0.29593,0.37724,0.39989,0.19443,1.95125,2.14825,1.30488,0.000868,0.000868,0.000868
22,53.7171,1.60176,2.13432,1.21608,0.62723,0.32401,0.47345,0.23957,1.87646,1.97832,1.25593,0.0008614,0.0008614,0.0008614
23,56.2998,1.61694,2.04518,1.17652,0.53211,0.38259,0.46863,0.25367,1.87379,1.92364,1.25392,0.0008548,0.0008548,0.0008548
24,58.7362,1.62516,2.04641,1.23124,0.56059,0.36528,0.50528,0.24742,1.89277,2.18839,1.29482,0.0008482,0.0008482,0.0008482
25,61.0927,1.63382,2.03317,1.23233,0.41248,0.45936,0.48297,0.23663,1.9458,2.30944,1.33583,0.0008416,0.0008416,0.0008416
26,63.5194,1.55909,2.03896,1.21606,0.57852,0.44583,0.50582,0.23115,1.93577,2.22249,1.30816,0.000835,0.000835,0.000835
27,66.2185,1.57268,1.9037,1.21087,0.34613,0.625,0.53973,0.27572,1.85502,1.82804,1.27513,0.0008284,0.0008284,0.0008284
28,68.737,1.5831,1.91391,1.20387,0.45649,0.54121,0.54801,0.3003,1.79506,1.99006,1.23661,0.0008218,0.0008218,0.0008218
29,71.1296,1.56371,1.98224,1.21435,0.38574,0.45555,0.52875,0.28071,1.79191,2.08013,1.22084,0.0008152,0.0008152,0.0008152
30,73.5982,1.51526,1.91252,1.20222,0.46404,0.55955,0.5883,0.31244,1.80392,1.7972,1.24092,0.0008086,0.0008086,0.0008086
31,76.0483,1.55396,1.91333,1.18726,0.63081,0.49463,0.61686,0.32856,1.83913,1.73895,1.26388,0.000802,0.000802,0.000802
32,78.4804,1.4492,1.88738,1.17979,0.46282,0.55728,0.58028,0.3112,1.8526,1.77035,1.24605,0.0007954,0.0007954,0.0007954
33,80.8663,1.49018,1.87919,1.17584,0.58073,0.4769,0.58967,0.31274,1.84846,1.65972,1.23033,0.0007888,0.0007888,0.0007888
34,83.3143,1.51057,1.78745,1.20171,0.38418,0.79107,0.63169,0.3152,1.87703,1.51294,1.26957,0.0007822,0.0007822,0.0007822
35,85.7666,1.52756,1.80148,1.20802,0.4435,0.66735,0.61954,0.31078,1.87527,1.69059,1.27053,0.0007756,0.0007756,0.0007756
36,88.2317,1.52664,1.77914,1.2149,0.46649,0.71144,0.66483,0.35958,1.81066,1.57611,1.25192,0.000769,0.000769,0.000769
37,90.6749,1.48456,1.72118,1.18737,0.575,0.70326,0.69327,0.36953,1.83424,1.53639,1.24694,0.0007624,0.0007624,0.0007624
38,93.0738,1.49774,1.66583,1.15773,0.64643,0.59167,0.72725,0.40553,1.77559,1.51238,1.20442,0.0007558,0.0007558,0.0007558
39,95.5658,1.47482,1.6655,1.17012,0.66568,0.60634,0.72155,0.39843,1.82844,1.65636,1.23361,0.0007492,0.0007492,0.0007492
40,97.9124,1.46329,1.65802,1.17852,0.5876,0.61248,0.66157,0.33686,1.86173,1.57683,1.2527,0.0007426,0.0007426,0.0007426
41,100.49,1.48638,1.53774,1.15962,0.6085,0.63507,0.64426,0.30922,1.86727,1.48885,1.26864,0.000736,0.000736,0.000736
42,103.126,1.46516,1.54946,1.1966,0.47489,0.72039,0.68695,0.35071,1.80802,1.53448,1.24437,0.0007294,0.0007294,0.0007294
43,105.727,1.40952,1.48651,1.14454,0.6438,0.61974,0.7072,0.37541,1.80774,1.67961,1.23344,0.0007228,0.0007228,0.0007228
44,108.255,1.47926,1.5915,1.13745,0.6209,0.66111,0.69759,0.34844,1.80365,1.50508,1.23569,0.0007162,0.0007162,0.0007162
45,110.682,1.39125,1.44942,1.14472,0.47034,0.73449,0.73323,0.37162,1.83707,1.50193,1.25606,0.0007096,0.0007096,0.0007096
46,113.132,1.40378,1.42325,1.16985,0.86231,0.56145,0.7275,0.373,1.88856,1.48967,1.28578,0.000703,0.000703,0.000703
47,115.558,1.36357,1.39806,1.14255,0.82909,0.62781,0.73796,0.35569,1.89265,1.38631,1.27614,0.0006964,0.0006964,0.0006964
48,117.989,1.37264,1.44832,1.14386,0.66864,0.74554,0.76748,0.39826,1.88851,1.30879,1.28469,0.0006898,0.0006898,0.0006898
49,120.346,1.39268,1.41558,1.13556,0.76106,0.64509,0.7951,0.41284,1.87313,1.29535,1.27514,0.0006832,0.0006832,0.0006832
50,122.78,1.3821,1.37786,1.10981,0.74088,0.58704,0.74209,0.40092,1.85909,1.30315,1.28001,0.0006766,0.0006766,0.0006766
51,125.233,1.3779,1.37032,1.14977,0.62452,0.71644,0.74497,0.39581,1.85724,1.28836,1.27392,0.00067,0.00067,0.00067
52,127.378,1.32116,1.38745,1.11918,0.74055,0.62783,0.77689,0.41398,1.80888,1.31008,1.24273,0.0006634,0.0006634,0.0006634
53,129.306,1.30523,1.30099,1.11175,0.88048,0.5638,0.77273,0.44078,1.77417,1.2695,1.23447,0.0006568,0.0006568,0.0006568
54,131.503,1.29468,1.28381,1.11727,0.7518,0.68128,0.79254,0.45093,1.75745,1.19072,1.23218,0.0006502,0.0006502,0.0006502
55,133.883,1.32941,1.292,1.14032,0.66793,0.61947,0.7488,0.40745,1.78354,1.27281,1.25613,0.0006436,0.0006436,0.0006436
56,136.472,1.3521,1.35743,1.13681,0.62222,0.72417,0.7937,0.43172,1.85164,1.28012,1.29073,0.000637,0.000637,0.000637
57,138.824,1.33517,1.28062,1.15284,0.79102,0.58402,0.79821,0.4358,1.85833,1.23569,1.29394,0.0006304,0.0006304,0.0006304
58,141.173,1.27384,1.22438,1.09634,0.73791,0.63993,0.74839,0.40973,1.83558,1.26184,1.26836,0.0006238,0.0006238,0.0006238
59,143.534,1.28529,1.22375,1.08533,0.75321,0.67608,0.8158,0.43597,1.86426,1.15311,1.27911,0.0006172,0.0006172,0.0006172
60,145.988,1.28337,1.17974,1.09884,0.81847,0.6079,0.79054,0.41969,1.85508,1.14119,1.28038,0.0006106,0.0006106,0.0006106
61,148.369,1.32299,1.20305,1.11887,0.89896,0.57725,0.78017,0.42502,1.81958,1.18754,1.27598,0.000604,0.000604,0.000604
